N	PARCELA	POSICAO	X	Y	ESPECIE	Cacho1	S1	S2	S3	S4	Smean	D	Copa
1649	L64500	E	161.2	10.85	Is	19	2	5	4	2	3.25	3	2
1660	L64500	E	172.3	13.07	Is	29	0	6	2	2	2.5	2	3
1657	L64500	D	174.3	3.44	Is	66	4	2	6	6	4.5	5	1
1658	L64500	D	178.25	8.6	Is	132	5	4	4	2	3.75	3	2
1674	L64500	E	204.1	14.95	Is	173	4	9	8	3	6	3	2
1680	L64500	E	223.93	3.4	Is	28	4	4	4	6	4.5	5	1
627	L70500	D	0	0	Om	17	2	1	6	4	3.25	0	3
663	L70500	E	36.7	2.4	Aa	109	4	4	2	4	3.5	4	3
659	L70500	E	127.24	0.74	Is	28	0	1	6	1	2	0	2
652	L70500	D	241.8	0.8	Ga	44	1	1	3	2	1.75	3	1
705	L71500	D	44.18	4.34	Is	168	10	12	10	7	9.75	2	2
707	L71500	D	59.02	6.6	Is	29	4	4	6	0	3.5	4	1
765	L71500	E	75.5	16.26	Is	21	10	9	0	16	8.75	3	1
12042	L71500	D	87.8	2.6	Obc	2338	4	3	13	6	6.5	3	4
761	L71500	E	107.18	10.68	Is	88	6	4	8	4	5.5	5	1
759	L71500	E	108.9	15.15	Is	115	1	6	1	0	2	3	2
723	L71500	D	140.6	9.63	Is	4	6	2	6	4	4.5	3	1
755	L71500	E	142.7	14.56	Obc	1672	11	5	11	4	7.75	3	3
751	L71500	E	159.48	11.41	Obc	2626	2	0	1	3	1.5	2	4
734	L71500	D	210	4.24	Om	16	5	3	5	2	3.75	2	2
736	L71500	D	237.48	17.5	Om	53	2	6	8	4	5	3	2
741	L71500	E	250	17.13	Om	27	2	4	0	0	1.5	3	3
738	L71500	D	251.91	5.4	Is	226	4	3	4	5	4	4	3
781	L72500	E	11.66	15.25	Om	9	7	2	1	3	3.25	3	2
782	L72500	E	24.9	19.35	Obc	366	2	2	2	0	1.5	2	3
815	L72500	E	104.81	3.9	Aa	45	4	8	2	2	4	1	3
890	L72500	E	195	14	Is	6	4	6	3	3	4	3	2
1039	L73500	D	8.1	12.66	Is	50	4	2	3	4	3.25	4	2
1046	L73500	D	15.2	13.58	Is	11	4	1	3	2	2.5	5	3
1050	L73500	D	24.5	9.73	Om	6	3	5	6	3	4.25	4	2
13899	L73500	E	45.86	1.92	Is	48	2	2	4	0	2	3	2
1103	L73500	E	96.5	6	Is	209	1	0	0	1	0.5	4	2
1118	L73500	E	131.7	12.8	Is	3	6	5	10	7	7	4	3
1135	L73500	D	176	13	Obc	7200	7	0	4	4	3.75	3	5
1150	L73500	D	193	7.8	Aa	31	6	6	8	5	6.25	2	2
1150	L73500	D	193	7.8	Aa	42	9	1	5	3	4.5	1	2
1157	L73500	D	216	11.8	Is	22	1	2	4	4	2.75	4	2
1162	L73500	D	230.6	17.4	Is	5	3	4	10	4	5.25	6	2
949	L74500	E	32.84	1	Ga	4	4	2	2	2	2.5	3	1
963	L74500	E	62.88	9.53	Om	52	5	4	8	4	5.25	4	2
33362	L74500	E	68.38	8.28	Obc	1646	6	0	4	5	3.75	5	4
970	L74500	D	84.73	8.48	Is	33	4	3	4	5	4	4	2
1204	L74500	E	148.73	1.42	Ga	7	4	4	3	9	5	2	1
1207	L74500	E	151.8	0.95	Ga	11	6	5	3	0	3.5	4	1
549	L80500	D	66.8	0.73	Se	200	0	3	2	0	1.25	3	5
611	L80500	E	117.5	0.24	Is	82	0	2	8	10	5	0	1
557	L80500	D	150.9	7	Se	176	1	3	6	12	5.5	3	1
9873	L80500	D	151	1	Ob	1775	2	6	2	3	3.25	1	4
